Sample ID,elevation (m),field sampling date,veg cover species 1,veg cover species 2,veg cover species 3,veg cover species 4,veg cover species 5,LatitudeN,LongitudeE,Field soil pH,Lysate pH,Rainfall Intensity (ml)
40-158-GB,403,25/09/2025,grass,ranunculus,moss,rumex acetosa,,54.525231,-2.7711158,4.41,4.55,858
41-157-GG,413,25/09/2025,grass,clover,,,,54.525719,-2.7707233,4.11,4.88,695
42-144-HB,420,25/09/2025,grass,,,,,54.526582,-2.7707704,3.47,4.57,940
43-180-GG,416,26/09/2025,ranunculus,,,,,54.526076,-2.7711472,7.88,5.46,613
44-153-HH,394,25/09/2025,grass,myrtilus,,,,54.527942,-2.7674121,3.46,3.88,776
45-161-GB,370,25/09/2025,grass,rumex acetosa,ranunculus,,,54.525651,-2.7673382,4.25,5.53,858
46-126-HH,404,24/09/2025,grass,,,,,54.525757,-2.7746022,3.52,4.41,940
47-145-HB,419,25/09/2025,grass,,,,,54.527123,-2.7704562,3.7,4.02,613
48-131-HB,416,24/09/2025,myrtilus,moss,,,,54.526953,-2.777298,3.45,3.91,776
49-140-HB,407,24/09/2025,grass,,,,,54.527749,-2.7751189,3.44,3.07,695
50-160-GG,384,25/09/2025,grass,clover,red clover,ranunculus,rumex acetosa,54.525234,-2.7692463,4.44,6.1,776
51-132-HH,418,24/09/2025,myrtilus,moss,,,,54.52723,-2.7775504,3.29,3.78,695
52-151-HB,386,25/09/2025,moss,grass,,,,54.529699,-2.766657,3.63,3.86,695
53-149-HB,401,25/09/2025,moss,grass,,,,54.528776,-2.7691893,4.01,3.76,858
54-164-GB,366,25/09/2025,moss,rumex acetosa,,,,54.526677,-2.7656579,4.97,6.69,940
55-124-HB,417,24/09/2025,grass,moss,,,,54.526197,-2.7732508,3.57,3.77,858
56-179-GG,407,26/09/2025,Rumex acetosa,ranunculus,,,,54.525604,-2.7719417,4.14,4.66,858
57-152-HB,388,25/09/2025,grass,myrtilus,,,,54.529473,-2.7655248,3.46,4.17,776
58-162-GG,376,25/09/2025,grass,thistle,ranunculus,,,54.526291,-2.766964,4.63,5.81,858
59-172-GG,331,26/09/2025,ranunculus,moss,,,,54.524468,-2.7654465,4.82,5.96,695
60-168-GB,292,25/09/2025,grass,ranunculus,,,,54.527444,-2.7623501,4.02,4.76,695
