sample_id,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L) no rhizons,Rhizon volume (L),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),Rack,Rainfall mix,Rainfall volume (ml)
44-153-HH,Heathland,Absent,2.75,0.00022471,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001261755,1.26175468,0.0025,1.25925468,1,0.008171282,0.082058,288,5,2,776
60-168-GB,Grassland,Present,2.5,0.000204282,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001241326,1.241326474,0.0025,1.238826474,1,0.008171282,0.082058,288,5,2,695
37-181-GG,Grassland,Absent,1.5,0.000122569,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001159614,1.159613649,0.0025,1.157113649,1,0.008171282,0.082058,288,5,2,613
57-152-HB,Heathland,Present,6,0.000490277,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001527321,1.527321361,0.0025,1.524821361,1,0.008171282,0.082058,288,5,2,776
3-135-HH,Heathland,Absent,5.25,0.000428992,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001466037,1.466036742,0.0025,1.463536742,1,0.008171282,0.082058,288,5,2,858
40-158-GB,Grassland,Present,1.5,0.000122569,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001159614,1.159613649,0.0025,1.157113649,1,0.008171282,0.082058,288,5,2,858
22-165-GG,Grassland,Absent,2.75,0.00022471,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001261755,1.26175468,0.0025,1.25925468,1,0.008171282,0.082058,288,5,2,940
52-151-HB,Heathland,Present,4.75,0.000388136,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.00142518,1.42518033,0.0025,1.42268033,1,0.008171282,0.082058,288,5,2,695
11-142-HH,Heathland,Absent,3.5,0.000285995,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,5,2,613
20-177-GB,Grassland,Present,3.75,0.000306423,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001343468,1.343467505,0.0025,1.340967505,1,0.008171282,0.082058,288,5,2,776
